TIME,MAX CE 1,MAX CE 2,Σ ΔCE OI,MAX PE 1,MAX PE 2,Σ ΔPE OI,Δ (CE − PE),_is_live,timestamp_IST
17:30 - 18:00,79800:- 26905,82000:- 4694,536,78800:- 21681,76000:- 2972,187,349,False,18:25
18:00 - 18:21,86000:- 22576,83400:- 5030,306,81000:- 1010,74800:- 1001,23,283,False,18:25
18:21 - 18:36,86000:- 9255,81200:- 2437,207,75600:- 2011,78400:- 1077,40,167,False,18:25
18:36 - 18:57,85000:- 62657,78800:- 11122,956,78200:- 1314,74800:- 810,-97,1053,False,18:25
18:57 - 19:14,81000:- 5043,78800:- 4211,158,78400:- 934,78600:- 725,21,137,False,18:25
19:14 - 19:30,78800:- 5540,81000:- 4354,170,78400:- 1715,77800:- 1414,36,134,False,18:25
19:30 - 19:49,86000:- 2451,80000:- 2242,149,78000:- 2270,76000:- 1319,59,90,False,18:25
19:49 - 20:07,85600:- 21610,85200:- 15284,1268,80000:- 1228,77600:- 759,-1,1269,False,18:25
20:07 - 20:24,78000:- 48308,85000:- 13575,696,77000:- 4729,76000:- 1379,19,677,False,18:25
20:24 - 20:41,81000:- 13786,85000:- 10210,505,78000:- 3323,77600:- 1789,74,431,False,18:25
20:41 - 20:57,82000:- 32477,80000:- 7613,581,79400:- 1900,76600:- 676,-223,804,False,18:25
20:57 - 21:19,86000:- 13004,80000:- 11492,410,77000:- 4052,76000:- 3256,56,354,False,18:25
21:19 - 21:51,83000:- 42973,86000:- 17316,766,77000:- 5476,77400:- 2906,175,591,False,18:25
21:51 - 22:07,84000:- 18064,86000:- 9337,393,77600:- 2016,77800:- 1431,34,359,False,18:25
22:07 - 22:23,82200:- 3628,84600:- 2200,33,77400:- 735,78000:- 365,-13,46,False,18:25
22:23 - 22:53,86000:- 8602,85600:- 2558,174,76000:- 12591,77600:- 1661,152,22,False,18:25
22:53 - 23:20,86000:- 19577,82000:- 11122,410,75200:- 1450,77400:- 1247,-89,499,False,18:25
23:20 - 23:51,84000:- 13174,86000:- 4903,91,77800:- 1821,77400:- 1500,-63,154,False,18:25
